reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
ali-inay-2277.png,ali-inay-2277_quality_80.webp,"(1365, 2048, 3)",8190,663,12.3529411765,35.05002476,0.962687
ali-inay-2277.png,ali-inay-2277_quality_70.webp,"(1365, 2048, 3)",8190,516,15.8720930233,33.1562980261,0.943666
ali-inay-2277.png,ali-inay-2277_quality_60.webp,"(1365, 2048, 3)",8190,448,18.28125,32.1852555146,0.930829
ali-inay-2277.png,ali-inay-2277_quality_50.webp,"(1365, 2048, 3)",8190,395,20.7341772152,31.3981992764,0.918649
ali-inay-2277.png,ali-inay-2277_quality_40.webp,"(1365, 2048, 3)",8190,336,24.375,30.417360263,0.901352
ali-inay-2277.png,ali-inay-2277_quality_30.webp,"(1365, 2048, 3)",8190,275,29.7818181818,29.2985890001,0.878247
ali-inay-2277.png,ali-inay-2277_quality_20.webp,"(1365, 2048, 3)",8190,218,37.5688073394,28.1854151179,0.845419
ali-inay-2277.png,ali-inay-2277_quality_10.webp,"(1365, 2048, 3)",8190,156,52.5,26.8594193523,0.789334
amar-yashlaha-122277.png,amar-yashlaha-122277_quality_100.webp,"(1240, 1861, 3)",6760,1545,4.37540453074,35.8568860587,0.99404
amar-yashlaha-122277.png,amar-yashlaha-122277_quality_90.webp,"(1240, 1861, 3)",6760,950,7.11578947368,34.6510463758,0.991722
amar-yashlaha-122277.png,amar-yashlaha-122277_quality_80.webp,"(1240, 1861, 3)",6760,617,10.9562398703,32.5504738957,0.985782
amar-yashlaha-122277.png,amar-yashlaha-122277_quality_70.webp,"(1240, 1861, 3)",6760,477,14.1719077568,31.0606774662,0.979425
amar-yashlaha-122277.png,amar-yashlaha-122277_quality_60.webp,"(1240, 1861, 3)",6760,420,16.0952380952,30.3698807304,0.975536
